keys;en;ru
TRGAMENAME;Jigits of the Great Steppe;Jigits of the Great Steppe
TRSTART;Start Game;Начать Игру
TRSETTINGS;Settings;Настройки
TREXIT;Exit;Выход
TRBACK;Back;Назад
TRFS;Fullscreen;Полный экран
TRLANG;Change language;Сменить язык
TRASAN;Asan;Асан
TRALI;Ali;Али
TRBERKEATA;Berke-Ata;Берке-Ата
TRZULAR;Zul'Ar;Зульяр
TRDANA;Dana;Дана
TRALID1_1;Hey, I've heard the village will be attacked by dzungars! Do you need help from the best Fighter of The Steppe, Asan?;Эй, я слышал, на деревню готовятся напасть джунгары! Тебе нужна помощь лучшего Мастера Топора Степи, Асан?
TRALID1_1A1;Sure, I need your courage to defend the villagers!;Конечно, мне не обойтись без твоей отваги во время защиты жителей!
TRALID1_1A2;I need to think, your boldness can get us in trouble;Мне нужно подумать, твоя безрассудность может доставить нам проблем
TRALID1_2;My fists will crush the invaders!;Мои кулаки разгромят захватчиков!
TRENDCONVERSATION;End conversation;Закончить разговор
TRBERKEATAD1_1;Hello, balam. This village's destiny is in your hands! Let me help you handle it!;Привет, балам. Судьба этого аула в твоих руках! Так дай же мне помочь тебе!
TRBERKEATAD1_1A1;Your fighting experience and Spearman skills would be very useful!;Ваши боевые навыки и искусство Копейщика будут очень полезны!
TRBERKEATAD1_1A2;You can become a burden for our squad, old man;Ты можешь стать обузой для нашего отряда, старик
TRBERKEATAD1_2;Get ready for the battle, son. My old spear will be as good as in old days;Приготовься к битве, сынок. Моё старое копьё будет таким же могучим, как и прежде!
TRDANAD1_1;Hey! Need some help, batyr?;Эй! Помощь нужна, батыр?
TRDANAD1_1A1;I'm gonna need some help from proficient Archer!;Мне бы пригодилась помощь от точного Лучника!
TRDANAD1_1A2;I don't need girls in my squad!;Мне не нужны девчонки в моём отряде!
TRDANAD1_2;They are gonna bleed from my flying ambassadors of death;Они будут истекать кровью от моих летающих посланников смерти!
TRZULARD1_1;Listen! I can heal your squad with the power of Fire;Слушай! Я могу лечить твой отряд с помощью сил огня
TRZULARD1_1A1;My squad's health is crucial! Join me!;Здоровье моего отряда превыше всего! Присоединяйся!
TRWARRIOROFTHESTEPPE;Warrior of The Steppe;Воитель Степи
TRTENGRI;Tengrianism;Тенгрианство
TRZOROASTRI;Zoroastrianism;Зороастризм
TRTENGRID;Worship of the sky in form of God Tengri;Поклонение небу в обличии Бога Тенгри
TRZOROASTRID;Followers of Zarathustra's faith and worshippers of fire;Последователи веры Заратуштры и огнепоклонники
TRZULARD1_1A2;I don't need help from a zealot!;Мне не нужна помощь от фанатика!
TRZULARD1_2;Zarathustra! Help our brothers in arms!;Заратуштра! Помоги нашим братьям по оружию!
TRMENUTOMAIN;Return to Main Menu;Вернуться в Главное Меню
TRMENUMYSQUAD;My Squad;Мой Отряд 
TRASAND;Asan has flawless reputation in his village and does his best to prove his status. Hand-to-hand combat master and born leader;Асан имеет безупречную репутацию в своем ауле и прикладывает все усилия, чтобы оправдать этот статус. Мастер рукопашных схваток и прирожденный лидер
TRLEVEL;Level;Уровень
TRHP;Health;Здоровье
TRSPIRITUALITY;Spirituality;Сила Духа
TREXP;Experience;Опыт
TRNEXTEXP;Experience for Next Level;Опыт для Следующего Уровня
TRALID;Ali is famous soldier whose fists have seen many battles. His only eye shows total self confidence;Али - знаменитый солдат, чьи кулаки видали множество битв. Его единственный глаз источает полную уверенность в своих силах
TRAXEMASTER;Fighter;Боец
TRSPEARMAN;Spearman;Копейщик
TRBERKEATAD;Experienced warrior, Berke-Ata prefers well-planned combat strategy. His inspirational skills are second to none;Опытный вояка, Берке-Ата предпочитает хорошо распланированную стратегию боя. Его способности к воодушевлению товарищей не знают равных
TRDANAD;Archer girl. Her beauty's only rival is her archery skill;Девушка-лучница. Единственный конкурент ее красоте - ее навыки стрельбы
TRARCHER;Archer;Лучник
TRHEALER;Healer;Лекарь
TRZULARD;Zoroastrian follower, Zul'Ar dedicated his life to learn fire control. His magical skills can be very helpful in any situation;Последователь зороастризма, Зульяр посвятил свою жизнь учению управления огнем. Его магические навыки могут быть крайне полезными в любой ситуации
TRBLOCK;Block;Блок
TRCRUSHINGPUNCH;Crushing Punch;Сокрушающий Удар
TRRUTHLESSASSAULT;Ruthless Assault;Неудержимый Натиск
TRMIGHTYBLOW;Mighty Blow;Могучий Удар
TRACCURATEBLOW;Accurate Blow;Точный Удар
TRINSPIRATION;Inspiration;Воодушевление
TRPOISONEDARROW;Poisoned Arrow;Ядовитая Стрела
TRSUPPRESSION;Suppression;Подавление
TRHEALINGFLAMES;Healing Flames;Исцеляющие Огни
TRFIRERAIN;Fire Rain;Огненный Дождь
TRASAND1_1;Great! We defended the village, now it's safe;Отлично! Мы защитили аул, теперь он в безопасности
TRASAND1_2;!!! I can't find my beloved Gulnar!;!!! Нигде не вижу свою любимую Гульнар!
TRASAND1_2A1;I must find her!;Я должен найти ее!
TRASAND1_3;Asan...;Асан...
TRASAND1_3A1;Who is this?!;Кто это?!
TRASAND1_4;Calm down... I'm the spirit of these steppes. In the evening, go to the rocks near your village... Your destiny is waiting;Успокойся... Я дух этих степей. Вечером подойди к камням рядом с аулом... Судьба ждет
TRASAND1_4A1;Wait!...;Стой!...
TRSCENE1;Your girl is in trouble... Big one...;У твоей девушки большие неприятности... Очень большие...
TRSCENE2;You can help me, I can help you...;Ты можешь помочь мне, а я могу помочь тебе...
TRSCENE3;Express my will, and I will help you return her...;Вырази мою волю, и я помогу вернуть ее
TRSCENE4;The Magical Tree will guide you after you do what's right...;Волшебное Дерево направит тебя, после того как ты сделаешь все что необходимо...
TRSCENE5;DEFEAT DZUNGARS. GRASP MY KNOWLEDGE. FIND THE TEMPLE.;ПОБЕДИ ДЖУНГАР. ОСОЗНАЙ МОЕ ЗНАНИЕ. НАЙДИ СВЯТИЛИЩЕ.
TRSCENE6;That's all. Embark on your epic journey, Hero!;Это все. Отправляйся в свое великое путешествие, Герой!
